semEpi;estadoIBGE;municipio;faixa_etaria;casos
1;AC;ACRELANDIA;05 a 10 anos;3
1;AC;ACRELANDIA;11 a 15 anos;1
1;AC;ACRELANDIA;16 a 19 anos;8
1;AC;ACRELANDIA;20 a 39 anos;23
1;AC;ACRELANDIA;40 a 59 anos;25
1;AC;ACRELANDIA;60 a 69 anos;11
1;AC;ACRELANDIA;70 anos e mais;6
1;AC;ACRELANDIA;sem informaç ;1
1;AC;ASSIS BRASIL;05 a 10 anos;2
1;AC;ASSIS BRASIL;20 a 39 anos;12
1;AC;ASSIS BRASIL;40 a 59 anos;7
1;AC;ASSIS BRASIL;60 a 69 anos;2
1;AC;ASSIS BRASIL;70 anos e mais;2
1;AC;BRASILEIA;02 a 04 anos;2
1;AC;BRASILEIA;05 a 10 anos;2
1;AC;BRASILEIA;16 a 19 anos;7
1;AC;BRASILEIA;20 a 39 anos;27
1;AC;BRASILEIA;40 a 59 anos;19
1;AC;BRASILEIA;60 a 69 anos;3
1;AC;BRASILEIA;70 anos e mais;2
1;AC;BRASILEIA;sem informaç ;1
1;AC;BUJARI;20 a 39 anos;1
1;AC;BUJARI;40 a 59 anos;1
1;AC;CAPIXABA;20 a 39 anos;1
1;AC;CAPIXABA;40 a 59 anos;3
1;AC;CAPIXABA;60 a 69 anos;2
1;AC;CAPIXABA;70 anos e mais;1
1;AC;CRUZEIRO DO SUL;02 a 04 anos;1
1;AC;CRUZEIRO DO SUL;05 a 10 anos;1
1;AC;CRUZEIRO DO SUL;07 meses a 01 ano;2
1;AC;CRUZEIRO DO SUL;11 a 15 anos;1
1;AC;CRUZEIRO DO SUL;16 a 19 anos;3
1;AC;CRUZEIRO DO SUL;20 a 39 anos;63
1;AC;CRUZEIRO DO SUL;40 a 59 anos;28
1;AC;CRUZEIRO DO SUL;60 a 69 anos;6
1;AC;CRUZEIRO DO SUL;70 anos e mais;7
1;AC;CRUZEIRO DO SUL;sem informaç ;2
1;AC;EPITACIOLANDIA;02 a 04 anos;1
1;AC;EPITACIOLANDIA;05 a 10 anos;2
1;AC;EPITACIOLANDIA;07 meses a 01 ano;1
1;AC;EPITACIOLANDIA;11 a 15 anos;3
1;AC;EPITACIOLANDIA;16 a 19 anos;2
1;AC;EPITACIOLANDIA;20 a 39 anos;25
1;AC;EPITACIOLANDIA;40 a 59 anos;33
1;AC;EPITACIOLANDIA;60 a 69 anos;10
1;AC;EPITACIOLANDIA;70 anos e mais;8
1;AC;FEIJO;02 a 04 anos;1
1;AC;FEIJO;07 meses a 01 ano;1
1;AC;FEIJO;20 a 39 anos;4
1;AC;FEIJO;40 a 59 anos;4
1;AC;FEIJO;70 anos e mais;1
1;AC;JORDAO;16 a 19 anos;1
1;AC;JORDAO;20 a 39 anos;1
1;AC;JORDAO;40 a 59 anos;4
1;AC;MANCIO LIMA;16 a 19 anos;1
1;AC;MANCIO LIMA;20 a 39 anos;2
1;AC;MANCIO LIMA;40 a 59 anos;3
1;AC;MANCIO LIMA;sem informaç ;1
1;AC;MANOEL URBANO;20 a 39 anos;3
1;AC;MANOEL URBANO;40 a 59 anos;1
1;AC;MARECHAL THAUMATURGO;07 meses a 01 ano;1
1;AC;MARECHAL THAUMATURGO;20 a 39 anos;1
1;AC;MARECHAL THAUMATURGO;40 a 59 anos;1
1;AC;MARECHAL THAUMATURGO;70 anos e mais;1
1;AC;PLACIDO DE CASTRO;02 a 04 anos;1
1;AC;PLACIDO DE CASTRO;07 meses a 01 ano;4
1;AC;PLACIDO DE CASTRO;16 a 19 anos;2
1;AC;PLACIDO DE CASTRO;20 a 39 anos;12
1;AC;PLACIDO DE CASTRO;40 a 59 anos;21
1;AC;PLACIDO DE CASTRO;60 a 69 anos;2
1;AC;PLACIDO DE CASTRO;70 anos e mais;3
1;AC;PORTO ACRE;11 a 15 anos;1
